id,kind,jurisdiction,identifier,title,status,introduced,url,fears,controls,agencies
us-119-hr-5351,bill,Congress,H.R. 5351,NSF AI Education Act of 2025,pending,2025-09-15,https://www.congress.gov/bill/119th-congress/house-bill/5351,,,
os-82aab4cb-8b1e-4686-98da-0f8d8218694c,bill,New York,A 9086,Relates to the regulation of energy consumption by data centers,pending,2025-09-12,https://openstates.org/ny/bills/2025-2026/A9086/,power-bills,,
os-698daec1-7bbc-4b8f-a72b-4d5cbc635e7d,bill,New York,A 9097,"Requires disclosure of use of generative artificial intelligence to clients, criminal defendants, and the court",pending,2025-09-12,https://openstates.org/ny/bills/2025-2026/A9097/,,labeling-mandates,
os-7f8bab87-4e61-423b-bd8e-436040bf91ff,bill,New York,A 9091,Requires search engines inform users when showing information which was generated using artificial intelligence,pending,2025-09-12,https://openstates.org/ny/bills/2025-2026/A9091/,,labeling-mandates,
us-119-hr-5332,bill,Congress,H.R. 5332,Liquid Cooling for AI Act of 2025,pending,2025-09-11,https://www.congress.gov/bill/119th-congress/house-bill/5332,,,
os-9a35e6c2-e49e-4718-b16d-d9c7ec564b79,bill,Pennsylvania,HB 1857,An Act requiring business entities to disclose the use of artificial intelligence in certain consumer interactions; establishing the right of consumers to human review in high-impact decisions; and providing for enforcement by Attorney General.,pending,2025-09-10,https://openstates.org/pa/bills/2025-2026/HB1857/,,labeling-mandates; new-agency-powers,Pennsylvania Attorney General
us-119-hres-694,bill,Congress,H.Res. 694,Expressing the sense of the House of Representatives that the Centers for Medicare & Medicaid Services should halt the pilot program and should not jeopardize seniors' access to critical health care by utilizing artificial intelligence to determine Medicare coverage.,pending,2025-09-10,https://www.congress.gov/bill/119th-congress/house-resolution/694,bias,,Centers for Medicare & Medicaid Services
us-119-hr-5272,bill,Congress,H.R. 5272,Protect Elections from Deceptive AI Act,pending,2025-09-10,https://www.congress.gov/bill/119th-congress/house-bill/5272,,,
os-ddb65e97-307f-4256-8b35-f54c96cfa28d,bill,New York,A 9064,Prohibits electric corporations and gas corporations from increasing charges due to the building or operation of a data center,pending,2025-09-05,https://openstates.org/ny/bills/2025-2026/A9064/,power-bills,,
os-ca63bd07-1a38-4705-ac4f-61643c8001fe,bill,Pennsylvania,SB 991,An Act providing for a permitting process for data center siting; and imposing powers and duties on the Department of Environmental Protection.,pending,2025-09-05,https://openstates.org/pa/bills/2025-2026/SB991/,,data-center-limits,Pennsylvania Department of Environmental Protection
os-5bffcbdb-3a24-40bc-bdf1-be858e2dd636,bill,New York,A 9039,"Establishes the ""accountability of costs for data centers act""",pending,2025-09-05,https://openstates.org/ny/bills/2025-2026/A9039/,,,
os-db7c5544-efaa-4567-84f7-c23f5b40c5f0,bill,New York,A 9028,Relates to use of virtual agents and AI tools in property searches,pending,2025-09-05,https://openstates.org/ny/bills/2025-2026/A9028/,bias,labeling-mandates; mandatory-reporting,
