rank,name,type,lobbying on filings mentioning a tracked fear,fears mentioned
307,Vanderbilt University,Lobbying client,510000,ai-cyberattacks; china-race; deepfakes; job-loss
308,Aon,Lobbying client,490000,power-bills
309,Ocean Conservancy,Lobbying client,462000,power-bills
310,News,Lobbying client,400000,kids-chatbots
311,Pinnacle West Capital,Lobbying client,390000,ai-cyberattacks; power-bills
312,National Propane Gas Association,Lobbying client,370000,power-bills
313,Yahoo Inc. and Var. Subs/affiliates,Lobbying client,360000,kids-chatbots
314,American Psychiatric Association,Lobbying client,343200,ai-cyberattacks; bias; job-loss; kids-chatbots
315,The Cook Group,Lobbying client,320000,job-loss
316,American College of Physician Services,Lobbying client,249030,bioweapons; job-loss
317,University of Alaska,Lobbying client,220000,ai-cyberattacks; deepfakes; job-loss; loss-of-control
318,Worldpay,Lobbying client,210000,ai-cyberattacks
319,American Conservation Coalition Action,Lobbying client,200000,power-bills
320,Public Citizen,Lobbying client,172577,job-loss; kids-chatbots; loss-of-control; power-bills
321,American College of Physicians,Lobbying client,171197,bioweapons; job-loss
322,American Fintech Council,Lobbying client,170000,deepfakes; loss-of-control
323,Advocates for Community Health,Lobbying client,170000,job-loss; loss-of-control
324,PNK DC,Lobbying client,160000,power-bills
325,Arm,Lobbying client,150000,bias
326,The Academy Advisors,Lobbying client,120000,job-loss
327,Nevada System of Higher Education,Lobbying client,120000,job-loss; power-bills
328,Marvell Technology,Lobbying client,120000,china-race; job-loss; power-bills
329,University of South Florida,Lobbying client,120000,ai-cyberattacks; job-loss
330,Temple University,Lobbying client,110000,job-loss; kids-chatbots
331,Dropbox,Lobbying client,100000,ai-cyberattacks; kids-chatbots
332,Aon Service,Lobbying client,100000,power-bills
333,Alliance for a Better Future,Lobbying client,100000,kids-chatbots
334,Open Policy Association,Lobbying client,100000,ai-cyberattacks; china-race
335,Assn. of State and Territorial Health Officials,Lobbying client,96323,bioweapons; job-loss; kids-chatbots
336,The Association for the Advancement of Artificial Intelligence,Lobbying client,80000,job-loss
337,"Siff & Associates, Pllc (obo the Mechanical Contractors Association of America)",Lobbying client,80000,job-loss; loss-of-control; power-bills
